 hubris,: n. 狂妄自大：exggerted pride; self-confidence,1 
 tulip,: n. 郁金香,1 
 commuter,: n. 通勤者;经常乘坐公交车往返者,1 
 omniscient,: dj. 无所不知的：complete knowledge,1 
 somnolence,: n. 瞌睡;嗜睡：needing sleep,1 
 languish,: v. 变得衰弱：become feeble,1 
 satirize,: v. 讽刺：ridicule,1 
 roisterer,: n. 喝酒喧闹的人：engges in merrymking,1 
 lustrous,: dj. 有光泽的：shiny,1 
 metaphorically,: dv. Figurtively,1 
 inkling,: n. 轻微暗示;小提示：slight indiction : n. 略知：vgue notion,1 
 visage,: n. 容貌,1 
 repudiate,: v. 否认：declre not to be true : v. 拒绝接受：unwillingness to ccept,1 
 scathing,: dj. 尖酸刻薄的：cuse hurt feelings,1 
 pedagogue,: n. 教育者;老师：give forml instruction,1 
 gloss,: n. 简短解释：brief explntion; obscure : n. （欺骗性的）光鲜外表：ttrctive ppernce : v. 敷衍潦草做事（甚至忽略）：too lightly : v. 开脱（罪名）：less bd,1 
 shopworn,: dj. 陈旧的：worn-out,1 
 incarnate,: dj. 化身的;人性化的：bodily nture nd form : v. 使（思想、理论）具体;体现：constitute n embodiment,1 
 padding,: n. 夸张;废话：go beyond the fcts,1 
 influx,: v. 涌入：coming in,1 
 protagonist,: n. 领导气概;领导者,1 
 pucker,: v. 撇（嘴）;（使）收缩：contrcted,1 
 scrappy,: dj. 好斗的;好吵架的：ggressive ,1 
 ostentatious,: dj. 卖弄炫耀的：conspicuous; pretentious,1 
 seduce,: v. 劝说（使不忠;使不服从）;诱...误入歧途：persude,1 
 shred,: n. 少量：smll mount,1 
