crane,n. 鹤；起重机#v. 起吊；吊运,5
accede,v. 赞成：approval;  consent # v. 就任; 就职：come into an office,5
tally,n. a current score or amount#v. agree or correspond#v. calculate the total number of,5
mutinous,adj. rebellious; subversive; seditious; rebel,4
garish,adj. 过于鲜艳的; 过于张扬的：strident color,4
tumble,v. fall suddenly; trip; stumble#n. a sudden or headlong fall,4
abscond,v. 偷偷离开：depart secretly,3
ream,v. 怒斥; 训斥：criticize,3
malign,adj. 恶意的：cause suffering #v. 诽谤：utter injuriously,3
crass,adj. 粗俗的; 愚钝的：unrefined,3
soothe,v. 带来慰藉; 安慰：bring comfort #v. 使镇静; 使安心：free from distress #v. 弱化; 缓解：less severe,3
piddling,adj. 微不足道的：trifling or trivial,3
protocol,n. 正确的礼仪规范：correct conduct,3
schism,n. 不一致：lack of agreement,3
harrow,v. 折磨; 使苦恼：distress torment,3
salve,v. 减轻：缓解：assuage,3
pointer,n.（仪表上的）指针：scale indicator #n. 忠告; 建议：suggestion or hint,3
rumple,v. 使皱; 弄皱：form creases #v. 打乱; 使不整齐：undo the proper order,3
detain,v. 拘留; 扣留：hold;  keep,3
husband,v. 节俭; 勤俭持家：use economically,3
advent,n. 出现；来临,3
renegade,n. 背教者; 叛徒：rejects allegiance,3
composition,n. 组成; the nature of something's ingredients or constituents; the way in which a whole or mixture is made up,3
perfunctory,adj. 例行公事的; 敷衍的：superficially #adj. 不感兴趣的：lacking in interest,3
jurisprudence,n. 法学#n. 法律体系,3
proprietary,n. 所有权：ownership #adj. 私营的：privately owned,2
extort,v. 勒索：force;  intimidation,2
smirk,v. （自鸣得意地）笑：offensively self-satisfied,2
hearten,v. 给予鼓励; 鼓舞：give strength courage;  encourage,2
permutation,n. 彻底的转变#n. 置换,2
synergic,adj. 合作的：cooperating,2
cavort,v. 欢快地蹦跳或行走; 雀跃：sprightly,2
repine,v. 抱怨、表达不满：express discontent #v. 渴望：long for,2
stodgy,adj. 平庸的; 乏味的：dull #adj. 非常守旧的：old-fashioned,2
onus,n. 负担#n. 耻辱,2
